0.122146,-0.064666,9.733359
0.210762,-0.074246,9.865085
0.198787,-0.124541,9.812395
0.232317,-0.069456,9.857900
0.184417,-0.136516,9.946516
0.162861,-0.071851,9.786050
0.203577,-0.122146,9.795630
0.237107,-0.055085,9.869875
0.201182,-0.047900,9.905801
0.222737,-0.122146,9.824370
0.170046,-0.035925,9.874666
0.160466,-0.083826,9.841135
0.184417,-0.153281,9.826765
0.158071,-0.129331,9.893826
0.184417,-0.114961,9.920171
0.158071,-0.064666,9.790840
0.280217,-0.028740,9.893826
0.217947,-0.110171,9.881851
0.217947,-0.076641,9.795630
0.258662,-0.064666,9.970466
0.217947,-0.098196,9.862690
0.186812,-0.110171,9.886641
0.165256,-0.091011,9.908196
0.196392,-0.028740,9.848320
0.167651,-0.153281,9.886641
0.201182,-0.088616,9.826765
0.170046,-0.122146,9.917776
0.179626,-0.136516,9.886641
0.196392,-0.040715,9.783655
0.210762,-0.026345,9.879456
0.193997,-0.086221,9.879456
0.246687,-0.112566,9.917776
0.227527,-0.119751,9.869875
0.205972,-0.119751,9.920171
0.222737,-0.011975,9.874666
0.184417,-0.131726,9.802815
0.227527,-0.112566,9.798025
0.215552,-0.117356,9.848320
0.174836,-0.102986,9.860295
0.174836,-0.091011,9.853110
0.174836,-0.050295,9.867480
0.182021,-0.122146,9.855505
0.208367,-0.141306,9.814790
0.227527,-0.093406,9.841135
0.225132,-0.098196,9.821975
0.193997,-0.083826,9.814790
0.210762,-0.100591,9.817185
0.146096,-0.155676,9.860295
0.227527,-0.071851,9.889036
0.134121,-0.086221,9.810000

